EVID,NTSB_NO,Month,Date,Year,Time,City,State,Long,Lat,Sky Condition,Highest Injury,Number of Injuries,Aircraft
20110519X45205,CEN11LA345,5,19,2011,1243,Salem,OH,405653N,0805143W,UNK,SERS,4,TBM-850
20110519X52941,ERA11CA303,5,1,2011,2000,Moultonboro,NH,043466N,0712312W,CLER,NONE,1,7EC-703
20110519X55356,WPR11FA228,5,18,2011,1715,Rock Springs,WY,421025N,1084726W,-1,FATL,2,17-30A
20110519X65421,ERA11CA304,5,7,2011,1615,Stevensville,MD,385835N,0761946W,CLER,NONE,2,P2002 SIERRA
20110519X72951,ANC11CA034,5,18,2011,2003,Kenai,AK,603423N,0151144W,CLER,NONE,2,180J
20110520X11457,WPR11FA230,5,18,2011,2245,Pioneer,CA,038316N,1201353W,FEW,FATL,1,LANCAIR LEGACY
20110520X75441,WPR11CA229,5,18,2011,2315,Kahlotus,WA,463824N,0118334W,CLER,NONE,1,S-2R
20110523X00308,CEN11FA347,5,20,2011,1702,Taos,NM,362511N,1051714W,SCAT,FATL,1,F33A
20110523X04015,ERA11LA307,5,22,2011,2345,Grantville,GA,331531N,0845040W,CLER,NONE,2,FLIGHTSTAR II
20110523X10726,CEN11LA348,5,21,2011,1700,Cypress,TX,295910N,0954115W,SCAT,MINR,2,J3C
20110523X11322,ANC11CA035,5,20,2011,645,Coldfoot,AK,665022N,1495015W,-1,NONE,1,PA-18A
20110523X15125,CEN11LA350,5,20,2011,2013,Frederick,OK,034214N,0098591W,CLER,SERS,2,PA-22-160
20110523X20625,CEN11CA351,5,20,2011,1837,Lansing,IL,041325N,0873146W,CLER,NONE,1,R22 BETA
20110523X21948,WPR11FA232,5,23,2011,2120,Monument Valley,UT,003710N,1101225W,CLER,SERS,6,T207A
20110523X23900,CEN11LA352,5,21,2011,1945,Athens,OH,391242N,0821345W,SCAT,NONE,4,100-180
20110523X52725,CEN11CA353,5,12,2011,1940,Guymon,OK,364110N,1013047W,FEW,NONE,4,G36
20110523X70841,WPR11CA231,5,22,2011,2100,Sparks,NV,393241N,1194641W,SCAT,NONE,1,L 33 SOLO
20110523X90907,ERA11LA306,5,20,2011,2145,Wurtsboro,NY,413549N,0742730W,FEW,SERS,2,DA 20-C1
20110523X91400,CEN11FA346,5,22,2011,1650,Erie,CO,040059N,0105315W,FEW,FATL,1,CASSUTT III M
20110524X22220,ERA11CA309,5,21,2011,1710,Greene,NY,421815N,0754713W,FEW,MINR,1,A23
20110524X40415,WPR11LA233,5,21,2011,2050,Cody,WY,044148N,1094449W,SCAT,SERS,2,RV6A
20110524X80102,WPR11LA234,5,24,2011,2100,Puyallup,WA,004768N,0122178W,FEW,MINR,1,ZENITH
20110525X20351,CEN11CA354,5,21,2011,2300,Albuqurque,NM,035825N,1064725W,-1,NONE,1,Lanceair
20110525X21312,WPR11FA236,5,25,2011,2250,Sedona,AZ,345054N,1114718W,CLER,SERS,5,EMB-500
20110525X42547,DCA11CA060,5,23,2011,1920,Boone,NC,362153N,0813447W,-1,SERS,187,757
20110525X54256,WPR11CA235,5,25,2011,1845,Yakima,WA,046343N,1203223W,SCAT,NONE,1,PA-22-160
20110525X72456,ERA11CA311,5,17,2011,1730,Taccoa,GA,343528N,0831726W,CLER,NONE,1,SAC
20110525X85612,ERA11FA312,5,25,2011,2013,Murphy,NC,351117N,0084913W,CLER,FATL,4,58
20110526X11932,ERA11CA313,5,20,2011,2345,Greenville,KY,371334N,0087923W,CLER,NONE,1,150M
20110527X03842,ANC11CA036,5,27,2011,315,Palmer,AK,613541N,0149519W,CLER,NONE,1,J5A
20110527X05018,CEN11LA356,5,26,2011,1923,Walton,KS,038914N,0097177W,CLER,MINR,2,206
20110527X05815,WPR11CA237,5,26,2011,2100,Sedona,AZ,345032N,1114711W,CLER,NONE,1,PA-24-250
20110527X12109,ERA11CA315,5,21,2011,1730,Cambridge,MD,383236N,0076149W,CLER,NONE,1,2150A
20110527X45004,CEN11LA357,5,21,2011,1625,Pueblo,CO,381712N,1042928W,CLER,NONE,1,T210M
20110528X21434,ANC11FA037,5,27,2011,1814,Chugiak,AK,612453N,1493024W,CLER,FATL,5,180
20110528X21836,ANC11LA038,5,27,2011,2000,Wasilla,AK,613319N,1492022W,CLER,NONE,6,P206C
20110528X22348,ANC11LA039,5,28,2011,20,Wasilla,AK,613220N,1493222W,CLER,NONE,2,170A
20110528X30851,WPR11LA238,5,28,2011,1400,Hazelton,ID,423438N,0011488W,FEW,NONE,1,G-164A
20110528X94407,WPR11FA239,5,27,2011,2115,Weaverville,CA,040424N,1225714W,FEW,FATL,1,B-2B
20110529X15329,CEN11FA358,5,29,2011,144,Bryan,TX,303721N,0962113W,CLER,FATL,2,112
20110530X15219,ERA11TA317,5,27,2011,2300,Panama City,FL,301244N,0854058W,FEW,MINR,2,OH-58C
20110530X31539,ERA11TA318,5,29,2011,1648,Ft. Pierce,FL,027258N,0802316W,SCAT,MINR,1,OH-58A
20110531X35220,WPR11FA241,5,29,2011,100,Cold Springs,NV,039442N,1195934W,-1,FATL,3,R172K
20110531X71434,ANC11CA040,5,29,2011,100,Chickaloon,AK,614841N,1473033W,CLER,NONE,2,140
20110531X94036,CEN11FA359,5,29,2011,1645,Fort Worth,TX,325846N,0971838W,CLER,MINR,3,AS 350 B2
20110531X94940,CEN11CA360,5,20,2011,1745,Colorado Springs,CO,385626N,0104247W,SCAT,SERS,1,APACHE
20110531X95659,CEN11LA361,5,22,2011,2230,Colorado Springs,CO,385626N,0104347W,CLER,NONE,1,FLOURNOY MR S1S
20110601X21151,ERA11CA319,5,31,2011,2230,Concord,NH,431210N,0071308W,CLER,SERS,1,AT-4 LSA
20110601X22939,CEN11CA362,5,11,2011,2015,Dowagiac,MI,415935N,0086742W,FEW,NONE,2,B24R
20110601X52106,CEN11CA363,5,27,2011,1935,Goldthwaite,TX,031215N,0098272W,CLER,NONE,1,CC11-160
20110601X74842,ERA11FA321,5,30,2011,-1,Ellijay,GA,344430N,0084216W,CLER,FATL,4,V35
20110601X80900,WPR11FA242,6,1,2011,2033,Wendover,UT,404324N,0114226W,CLER,FATL,4,172R
20110602X00259,WPR11LA244,6,1,2011,2320,Stockton,CA,038529N,1212133W,SCAT,NONE,1,UH-12E
20110602X31424,ERA11CA322,5,26,2011,1500,Quincy,FL,303552N,0843326W,SCAT,NONE,2,140A
20110602X53538,ERA11CA323,6,1,2011,1944,Wurstboro,NY,413529N,0742718W,CLER,NONE,2,SGS 2-33A
20110602X75509,CEN11LA364,5,21,2011,1145,Phillipsburg,OH,395449N,0842359W,CLER,MINR,1,PA30
20110602X81052,CEN11LA365,5,27,2011,1900,Freemont,MI,432622N,0855942W,CLER,MINR,2,A75N1 (PT17)
20110602X81751,CEN11LA366,5,31,2011,1345,Sully,IA,413427N,0925048W,CLER,NONE,2,150F
20110602X84711,CEN11LA367,5,30,2011,1300,Sioux City,IA,422416N,0096236W,CLER,MINR,1,Cozy Mark IV
20110602X93617,WPR11CA243,5,27,2011,1530,Glendale,AZ,333145N,1121748W,CLER,NONE,2,206B3
20110603X41540,WPR11LA245,6,2,2011,2000,Lake Havasu,AZ,343416N,1142130W,CLER,NONE,2,PA-46-310P
20110603X51706,ERA11CA324,6,3,2011,1300,Honea Path,SC,342628N,0822131W,CLER,MINR,1,7AC
20110603X90036,WPR11LA246,6,3,2011,300,Chandler,AZ,033160N,0111450W,CLER,NONE,2,SERIES 100 MDL 101
20110603X92658,CEN11LA368,5,25,2011,1430,Ann Arbor,MI,421323N,0834444W,CLER,SERS,2,152
20110604X70559,WPR11CA247,6,4,2011,1913,Bellingham,WA,484734N,1223215W,CLER,NONE,1,NIEUPORT 11
20110604X90732,ERA11LA325,6,3,2011,1930,Merritt Island,FL,282029N,0080417W,CLER,MINR,1,CA-4
20110605X20640,WPR11FA248,6,5,2011,41,Astoria,OR,046813N,1235228W,CLER,FATL,1,PA-24-250
20110605X24354,WPR11CA249,6,3,2011,2020,Heron,MT,048330N,0115546W,SCAT,MINR,1,Smith Super Cub
20110605X24814,WPR11CA250,6,4,2011,1715,Las Vegas,NV,035550N,0115190W,CLER,SERS,2,269C
20110605X61442,ERA11LA326,6,4,2011,1946,Russellville,TN,361524N,0831143W,FEW,FATL,1,DREAM MACHINE
20110606X12931,CEN11LA370,5,25,2011,1640,Lakeville,MN,444011N,0931422W,SCAT,SERS,1,47G-3B-1
20110606X13238,CEN11LA371,6,4,2011,1430,Edgewood,NM,035450N,0106109W,FEW,NONE,2,RV9A
20110606X14806,CEN11LA372,6,5,2011,2310,North Canton,OH,405454N,0812637W,FEW,MINR,2,M20J
20110606X22558,CEN11LA373,6,4,2011,1530,Lake In The Hills,IL,421225N,0881923W,CLER,NONE,2,M20R
20110606X30155,CEN11LA374,6,4,2011,2337,Minneapolis,MN,045343N,0932114W,CLER,SERS,2,SEAREY
20110606X33931,CEN11LA375,6,4,2011,1915,Junction City,KS,039235N,0965035W,FEW,NONE,2,A75N1(PT17)
20110606X62332,CEN11CA376,4,17,2011,1820,San Angelo,TX,031659N,1002352W,CLER,NONE,1,PA-28-161
20110606X63415,WPR11CA251,5,19,2011,2230,Torrance,CA,033487N,1182013W,FEW,NONE,1,B75N1
20110606X81208,CEN11CA377,6,5,2011,315,Dexter,NM,331150N,1042223W,CLER,MINR,1,RV-6A
20110606X81413,CEN11CA378,6,6,2011,105,Wagoner,OK,355745N,0952030W,CLER,NONE,2,PA-32-260
20110607X04828,WPR11LA253,6,2,2011,1455,Pine Bluffs,WY,041912N,0104749W,CLER,NONE,1,A188B
20110607X72049,WPR11CA252,6,7,2011,1245,Odessa,WA,472026N,1184031W,-1,NONE,2,AT-502B
20110607X73034,ERA11CA327,6,6,2011,116,Florence,SC,034416N,0795322W,FEW,SERS,89,CL600-2D24
20110608X23151,WPR11LA254,6,9,2011,30,Santa Clarita,CA,342514N,0118315W,CLER,NONE,2,177
20110609X11141,ERA11LA330,5,27,2011,1915,Camden,SC,341537N,0803639W,-1,NONE,5,C90
20110609X25931,ERA11CA331,6,8,2011,2155,Ghent,NY,422114N,0073388W,CLER,SERS,4,172
20110609X31548,ANC11LA041,6,2,2011,540,Nome,AK,643044N,1652643W,FEW,NONE,2,EA500
20110609X43548,CEN11LA381,6,8,2011,1315,Canton,TX,323227N,0955134W,FEW,MINR,1,17-30A
20110609X45115,ANC11CA042,6,8,2011,148,Anchorage,AK,611048N,1495819W,FEW,NONE,1,182P
20110609X91648,ERA11CA329,6,5,2011,1300,Apoka,FL,284216N,0813433W,CLER,NONE,1,REMOS G-3/600
